IP,Log_Line
127.0.0.1,2025-06-20T03:01:04.469073-04:00 kali sshd-session[7873]: Failed password for kali from 127.0.0.1 port 54458 ssh2
127.0.0.1,2025-06-20T03:01:04.576579-04:00 kali sshd-session[7868]: Failed password for kali from 127.0.0.1 port 54428 ssh2
127.0.0.1,2025-06-20T03:01:04.621162-04:00 kali sshd-session[8012]: Failed password for root from 127.0.0.1 port 49842 ssh2
127.0.0.1,2025-06-20T03:01:04.752841-04:00 kali sshd-session[7883]: Failed password for kali from 127.0.0.1 port 54468 ssh2
127.0.0.1,2025-06-20T03:01:04.815057-04:00 kali sshd-session[7905]: Failed password for kali from 127.0.0.1 port 54534 ssh2
127.0.0.1,2025-06-20T03:01:05.331164-04:00 kali sshd-session[7900]: Failed password for kali from 127.0.0.1 port 54520 ssh2
127.0.0.1,2025-06-20T03:01:05.679755-04:00 kali sshd-session[7903]: Failed password for kali from 127.0.0.1 port 54528 ssh2
127.0.0.1,2025-06-20T03:01:05.693933-04:00 kali sshd-session[7884]: Failed password for kali from 127.0.0.1 port 54482 ssh2
127.0.0.1,2025-06-20T03:01:06.111407-04:00 kali sshd-session[7873]: Failed password for kali from 127.0.0.1 port 54458 ssh2
127.0.0.1,2025-06-20T03:01:06.387080-04:00 kali sshd-session[7895]: Failed password for kali from 127.0.0.1 port 54486 ssh2
127.0.0.1,2025-06-20T03:01:06.571713-04:00 kali sshd-session[8004]: Failed password for root from 127.0.0.1 port 49828 ssh2
127.0.0.1,2025-06-20T03:01:06.577584-04:00 kali sshd-session[7897]: Failed password for kali from 127.0.0.1 port 54500 ssh2
127.0.0.1,2025-06-20T03:01:06.692401-04:00 kali sshd-session[7998]: Failed password for root from 127.0.0.1 port 49824 ssh2
127.0.0.1,2025-06-20T03:01:06.898031-04:00 kali sshd-session[7870]: Failed password for kali from 127.0.0.1 port 54432 ssh2
127.0.0.1,2025-06-20T03:01:06.931019-04:00 kali sshd-session[7905]: Failed password for kali from 127.0.0.1 port 54534 ssh2
127.0.0.1,2025-06-20T03:01:07.016693-04:00 kali sshd-session[8015]: Failed password for root from 127.0.0.1 port 49858 ssh2
127.0.0.1,2025-06-20T03:01:07.156914-04:00 kali sshd-session[8012]: Failed password for root from 127.0.0.1 port 49842 ssh2
127.0.0.1,2025-06-20T03:01:07.554748-04:00 kali sshd-session[7868]: Failed password for kali from 127.0.0.1 port 54428 ssh2
127.0.0.1,2025-06-20T03:01:08.150821-04:00 kali sshd-session[7883]: Failed password for kali from 127.0.0.1 port 54468 ssh2
127.0.0.1,2025-06-20T03:01:08.678165-04:00 kali sshd-session[7884]: Failed password for kali from 127.0.0.1 port 54482 ssh2
127.0.0.1,2025-06-20T03:01:08.813757-04:00 kali sshd-session[8004]: Failed password for root from 127.0.0.1 port 49828 ssh2
127.0.0.1,2025-06-20T03:01:08.818608-04:00 kali sshd-session[7900]: Failed password for kali from 127.0.0.1 port 54520 ssh2
127.0.0.1,2025-06-20T03:01:09.126169-04:00 kali sshd-session[7873]: Failed password for kali from 127.0.0.1 port 54458 ssh2
127.0.0.1,2025-06-20T03:01:09.332759-04:00 kali sshd-session[7903]: Failed password for kali from 127.0.0.1 port 54528 ssh2
127.0.0.1,2025-06-20T03:01:09.563253-04:00 kali sshd-session[7905]: Failed password for kali from 127.0.0.1 port 54534 ssh2
127.0.0.1,2025-06-20T03:01:09.721329-04:00 kali sshd-session[8015]: Failed password for root from 127.0.0.1 port 49858 ssh2
127.0.0.1,2025-06-20T03:01:09.994566-04:00 kali sshd-session[8012]: Failed password for root from 127.0.0.1 port 49842 ssh2
127.0.0.1,2025-06-20T03:01:10.836037-04:00 kali sshd-session[8004]: Failed password for root from 127.0.0.1 port 49828 ssh2
127.0.0.1,2025-06-20T03:01:11.244999-04:00 kali sshd-session[7998]: Failed password for root from 127.0.0.1 port 49824 ssh2
127.0.0.1,2025-06-20T03:01:13.317342-04:00 kali sshd-session[7998]: Failed password for root from 127.0.0.1 port 49824 ssh2
127.0.0.1,2025-06-20T03:01:13.473947-04:00 kali sshd-session[8015]: Failed password for root from 127.0.0.1 port 49858 ssh2
127.0.0.1,2025-06-20T03:01:13.694818-04:00 kali sshd-session[8004]: Failed password for root from 127.0.0.1 port 49828 ssh2
127.0.0.1,2025-06-20T03:01:13.853480-04:00 kali sshd-session[8012]: Failed password for root from 127.0.0.1 port 49842 ssh2
127.0.0.1,2025-06-20T03:01:15.425024-04:00 kali sshd-session[8004]: Failed password for root from 127.0.0.1 port 49828 ssh2
127.0.0.1,2025-06-20T03:01:15.605028-04:00 kali sshd-session[7998]: Failed password for root from 127.0.0.1 port 49824 ssh2
127.0.0.1,2025-06-20T03:01:16.110474-04:00 kali sshd-session[8012]: Failed password for root from 127.0.0.1 port 49842 ssh2
127.0.0.1,2025-06-20T03:01:16.536815-04:00 kali sshd-session[8015]: Failed password for root from 127.0.0.1 port 49858 ssh2
127.0.0.1,2025-06-20T03:01:18.049709-04:00 kali sshd-session[7998]: Failed password for root from 127.0.0.1 port 49824 ssh2
127.0.0.1,2025-06-20T03:01:22.158661-04:00 kali sshd-session[8015]: Failed password for root from 127.0.0.1 port 49858 ssh2
127.0.0.1,2025-06-20T03:08:34.209273-04:00 kali sshd-session[3972]: Failed password for root from 127.0.0.1 port 58540 ssh2
127.0.0.1,2025-06-20T03:08:34.793273-04:00 kali sshd-session[3977]: Failed password for root from 127.0.0.1 port 58574 ssh2
127.0.0.1,2025-06-20T03:08:35.327723-04:00 kali sshd-session[3982]: Failed password for root from 127.0.0.1 port 58618 ssh2
127.0.0.1,2025-06-20T03:08:35.579184-04:00 kali sshd-session[3976]: Failed password for root from 127.0.0.1 port 58560 ssh2
127.0.0.1,2025-06-20T03:08:36.089499-04:00 kali sshd-session[3974]: Failed password for root from 127.0.0.1 port 58550 ssh2
